Date,Day of Week
2020-02-27,Thursday
2020-02-28,Friday
2020-02-29,Saturday
2020-03-01,Sunday
2020-03-02,Monday
2020-03-03,Tuesday
2020-03-04,Wednesday
2020-03-05,Thursday
2020-03-06,Friday
2020-03-07,Saturday
2020-03-08,Sunday
2020-03-09,Monday
2020-03-10,Tuesday
2020-03-11,Wednesday
2020-03-12,Thursday
2020-03-13,Friday
2020-03-14,Saturday
2020-03-15,Sunday
2020-03-16,Monday
2020-03-17,Tuesday
2020-03-18,Wednesday
2020-03-19,Thursday
2020-03-20,Friday
2020-03-21,Saturday
2020-03-22,Sunday
2020-03-23,Monday
2020-03-24,Tuesday
2020-03-25,Wednesday
2020-03-26,Thursday
2020-03-27,Friday
2020-03-28,Saturday
2020-03-29,Sunday
2020-03-30,Monday
2020-03-31,Tuesday
2020-04-01,Wednesday
2020-04-02,Thursday
2020-04-03,Friday
2020-04-04,Saturday
2020-04-05,Sunday
2020-04-06,Monday
2020-04-07,Tuesday
2020-04-08,Wednesday
2020-04-09,Thursday
2020-04-10,Friday
2020-04-11,Saturday
2020-04-12,Sunday
2020-04-13,Monday
2020-04-14,Tuesday
2020-04-15,Wednesday
2020-04-16,Thursday
2020-04-17,Friday
2020-04-18,Saturday
2020-04-19,Sunday
2020-04-20,Monday
2020-04-21,Tuesday
2020-04-22,Wednesday
2020-04-23,Thursday
2020-04-24,Friday
2020-04-25,Saturday
2020-04-26,Sunday
2020-04-27,Monday
2020-04-28,Tuesday
2020-04-29,Wednesday
2020-04-30,Thursday
2020-05-01,Friday
2020-05-02,Saturday
2020-05-03,Sunday
2020-05-04,Monday
2020-05-05,Tuesday
2020-05-06,Wednesday
2020-05-07,Thursday
2020-05-08,Friday
2020-05-09,Saturday
2020-05-10,Sunday
2020-05-11,Monday
2020-05-12,Tuesday
2020-05-13,Wednesday
2020-05-14,Thursday
2020-05-15,Friday
2020-05-16,Saturday
2020-05-17,Sunday
2020-05-18,Monday
2020-05-19,Tuesday
2020-05-20,Wednesday
2020-05-21,Thursday
2020-05-22,Friday
2020-05-23,Saturday
2020-05-24,Sunday
2020-05-25,Monday
2020-05-26,Tuesday
2020-05-27,Wednesday
2020-05-28,Thursday
2020-05-29,Friday
2020-05-30,Saturday
2020-05-31,Sunday
2020-06-01,Monday
2020-06-02,Tuesday
2020-06-03,Wednesday
2020-06-04,Thursday
2020-06-05,Friday
2020-06-06,Saturday
2020-06-07,Sunday
2020-06-08,Monday
2020-06-09,Tuesday
2020-06-10,Wednesday
2020-06-11,Thursday
2020-06-12,Friday
2020-06-13,Saturday
2020-06-14,Sunday
2020-06-15,Monday
2020-06-16,Tuesday
2020-06-17,Wednesday
2020-06-18,Thursday
2020-06-19,Friday
2020-06-20,Saturday
2020-06-21,Sunday
2020-06-22,Monday
2020-06-23,Tuesday
2020-06-24,Wednesday
2020-06-25,Thursday
2020-06-26,Friday
2020-06-27,Saturday
2020-06-28,Sunday
2020-06-29,Monday
2020-06-30,Tuesday
2020-07-01,Wednesday
2020-07-02,Thursday
2020-07-03,Friday
2020-07-04,Saturday
2020-07-05,Sunday
2020-07-06,Monday
2020-07-07,Tuesday
2020-07-08,Wednesday
2020-07-09,Thursday
2020-07-10,Friday
2020-07-11,Saturday
2020-07-12,Sunday
2020-07-13,Monday
2020-07-14,Tuesday
2020-07-15,Wednesday
2020-07-16,Thursday
2020-07-17,Friday
2020-07-18,Saturday
2020-07-19,Sunday
2020-07-20,Monday
2020-07-21,Tuesday
2020-07-22,Wednesday
2020-07-23,Thursday
2020-07-24,Friday
2020-07-25,Saturday
2020-07-26,Sunday
2020-07-27,Monday
2020-07-28,Tuesday
2020-07-29,Wednesday
2020-07-30,Thursday
2020-07-31,Friday
2020-08-01,Saturday
2020-08-02,Sunday
2020-08-03,Monday
2020-08-04,Tuesday
2020-08-05,Wednesday
2020-08-06,Thursday
2020-08-07,Friday
2020-08-08,Saturday
2020-08-09,Sunday
2020-08-10,Monday
2020-08-11,Tuesday
2020-08-12,Wednesday
2020-08-13,Thursday
2020-08-14,Friday
2020-08-15,Saturday
2020-08-16,Sunday
2020-08-17,Monday
2020-08-18,Tuesday
2020-08-19,Wednesday
2020-08-20,Thursday
2020-08-21,Friday
2020-08-22,Saturday
2020-08-23,Sunday
2020-08-24,Monday
2020-08-25,Tuesday
2020-08-26,Wednesday
2020-08-27,Thursday
2020-08-28,Friday
2020-08-29,Saturday
2020-08-30,Sunday
2020-08-31,Monday
2020-09-01,Tuesday
2020-09-02,Wednesday
2020-09-03,Thursday
2020-09-04,Friday
2020-09-05,Saturday
2020-09-06,Sunday
2020-09-07,Monday
2020-09-08,Tuesday
2020-09-09,Wednesday
2020-09-10,Thursday
2020-09-11,Friday
2020-09-12,Saturday
2020-09-13,Sunday
2020-09-14,Monday
2020-09-15,Tuesday
2020-09-16,Wednesday
2020-09-17,Thursday
2020-09-18,Friday
2020-09-19,Saturday
2020-09-20,Sunday
2020-09-21,Monday
2020-09-22,Tuesday
2020-09-23,Wednesday
2020-09-24,Thursday
2020-09-25,Friday
2020-09-26,Saturday
2020-09-27,Sunday
2020-09-28,Monday
2020-09-29,Tuesday
2020-09-30,Wednesday
2020-10-01,Thursday
2020-10-02,Friday
2020-10-03,Saturday
2020-10-04,Sunday
2020-10-05,Monday
2020-10-06,Tuesday
2020-10-07,Wednesday
2020-10-08,Thursday
2020-10-09,Friday
2020-10-10,Saturday
2020-10-11,Sunday
2020-10-12,Monday
2020-10-13,Tuesday
2020-10-14,Wednesday
2020-10-15,Thursday
2020-10-16,Friday
2020-10-17,Saturday
2020-10-18,Sunday
2020-10-19,Monday
2020-10-20,Tuesday
2020-10-21,Wednesday
2020-10-22,Thursday
2020-10-23,Friday
2020-10-24,Saturday
2020-10-25,Sunday
2020-10-26,Monday
2020-10-27,Tuesday
2020-10-28,Wednesday
2020-10-29,Thursday
2020-10-30,Friday
2020-10-31,Saturday
2020-11-01,Sunday
2020-11-02,Monday
2020-11-03,Tuesday
2020-11-04,Wednesday
2020-11-05,Thursday
2020-11-06,Friday
2020-11-07,Saturday
2020-11-08,Sunday
2020-11-09,Monday
2020-11-10,Tuesday
2020-11-11,Wednesday
2020-11-12,Thursday
2020-11-13,Friday
2020-11-14,Saturday
2020-11-15,Sunday
2020-11-16,Monday
2020-11-17,Tuesday
2020-11-18,Wednesday
2020-11-19,Thursday
2020-11-20,Friday
2020-11-21,Saturday
2020-11-22,Sunday
2020-11-23,Monday
2020-11-24,Tuesday
2020-11-25,Wednesday
2020-11-26,Thursday
2020-11-27,Friday
2020-11-28,Saturday
2020-11-29,Sunday
2020-11-30,Monday
2020-12-01,Tuesday
2020-12-02,Wednesday
2020-12-03,Thursday
2020-12-04,Friday
2020-12-05,Saturday
2020-12-06,Sunday
2020-12-07,Monday
2020-12-08,Tuesday
2020-12-09,Wednesday
2020-12-10,Thursday
2020-12-11,Friday
2020-12-12,Saturday
2020-12-13,Sunday
2020-12-14,Monday
2020-12-15,Tuesday
2020-12-16,Wednesday
2020-12-17,Thursday
2020-12-18,Friday
2020-12-19,Saturday
2020-12-20,Sunday
2020-12-21,Monday
2020-12-22,Tuesday
2020-12-23,Wednesday
2020-12-24,Thursday
2020-12-25,Friday
2020-12-26,Saturday
2020-12-27,Sunday
2020-12-28,Monday
2020-12-29,Tuesday
2020-12-30,Wednesday
2020-12-31,Thursday
2021-01-01,Friday
2021-01-02,Saturday
2021-01-03,Sunday
2021-01-04,Monday
2021-01-05,Tuesday
2021-01-06,Wednesday
2021-01-07,Thursday
2021-01-08,Friday
2021-01-09,Saturday
2021-01-10,Sunday
2021-01-11,Monday
2021-01-12,Tuesday
2021-01-13,Wednesday
2021-01-14,Thursday
2021-01-15,Friday
2021-01-16,Saturday
2021-01-17,Sunday
2021-01-18,Monday
2021-01-19,Tuesday
2021-01-20,Wednesday
2021-01-21,Thursday
2021-01-22,Friday
2021-01-23,Saturday
2021-01-24,Sunday
2021-01-25,Monday
2021-01-26,Tuesday
2021-01-27,Wednesday
2021-01-28,Thursday
2021-01-29,Friday
2021-01-30,Saturday
2021-01-31,Sunday
2021-02-01,Monday
2021-02-02,Tuesday
2021-02-03,Wednesday
2021-02-04,Thursday
2021-02-05,Friday
2021-02-06,Saturday
2021-02-07,Sunday
2021-02-08,Monday
2021-02-09,Tuesday
2021-02-10,Wednesday
2021-02-11,Thursday
2021-02-12,Friday
2021-02-13,Saturday
2021-02-14,Sunday
2021-02-15,Monday
2021-02-16,Tuesday
2021-02-17,Wednesday
2021-02-18,Thursday
2021-02-19,Friday
2021-02-20,Saturday
2021-02-21,Sunday
2021-02-22,Monday
2021-02-23,Tuesday
2021-02-24,Wednesday
2021-02-25,Thursday
2021-02-26,Friday
2021-02-27,Saturday
2021-02-28,Sunday
2021-03-01,Monday
2021-03-02,Tuesday
2021-03-03,Wednesday
2021-03-04,Thursday
2021-03-05,Friday
2021-03-06,Saturday
2021-03-07,Sunday
2021-03-08,Monday
2021-03-09,Tuesday
2021-03-10,Wednesday
2021-03-11,Thursday
2021-03-12,Friday
2021-03-13,Saturday
2021-03-14,Sunday
2021-03-15,Monday
2021-03-16,Tuesday
2021-03-17,Wednesday
2021-03-18,Thursday
2021-03-19,Friday
2021-03-20,Saturday
2021-03-21,Sunday
2021-03-22,Monday
2021-03-23,Tuesday
2021-03-24,Wednesday
2021-03-25,Thursday
2021-03-26,Friday
2021-03-27,Saturday
2021-03-28,Sunday
2021-03-29,Monday
2021-03-30,Tuesday
2021-03-31,Wednesday
2021-04-01,Thursday
2021-04-02,Friday
2021-04-03,Saturday
2021-04-04,Sunday
2021-04-05,Monday
2021-04-06,Tuesday
2021-04-07,Wednesday
2021-04-08,Thursday
2021-04-09,Friday
2021-04-10,Saturday
2021-04-11,Sunday
2021-04-12,Monday
2021-04-13,Tuesday
2021-04-14,Wednesday
2021-04-15,Thursday
2021-04-16,Friday
2021-04-17,Saturday
2021-04-18,Sunday
2021-04-19,Monday
2021-04-20,Tuesday
2021-04-21,Wednesday
2021-04-22,Thursday
2021-04-23,Friday
2021-04-24,Saturday
2021-04-25,Sunday
2021-04-26,Monday
2021-04-27,Tuesday
2021-04-28,Wednesday
2021-04-29,Thursday
2021-04-30,Friday
2021-05-01,Saturday
2021-05-02,Sunday
2021-05-03,Monday
2021-05-04,Tuesday
2021-05-05,Wednesday
2021-05-06,Thursday
2021-05-07,Friday
2021-05-08,Saturday
2021-05-09,Sunday
2021-05-10,Monday
2021-05-11,Tuesday
2021-05-12,Wednesday
2021-05-13,Thursday
2021-05-14,Friday
2021-05-15,Saturday
2021-05-16,Sunday
2021-05-17,Monday
2021-05-18,Tuesday
2021-05-19,Wednesday
2021-05-20,Thursday
2021-05-21,Friday
2021-05-22,Saturday
2021-05-23,Sunday
2021-05-24,Monday
2021-05-25,Tuesday
2021-05-26,Wednesday
2021-05-27,Thursday
2021-05-28,Friday
2021-05-29,Saturday
2021-05-30,Sunday
2021-05-31,Monday
2021-06-01,Tuesday
2021-06-02,Wednesday
2021-06-03,Thursday
2021-06-04,Friday
2021-06-05,Saturday
2021-06-06,Sunday
2021-06-07,Monday
2021-06-08,Tuesday
2021-06-09,Wednesday
2021-06-10,Thursday
2021-06-11,Friday
2021-06-12,Saturday
2021-06-13,Sunday
2021-06-14,Monday
2021-06-15,Tuesday
2021-06-16,Wednesday
2021-06-17,Thursday
2021-06-18,Friday
2021-06-19,Saturday
2021-06-20,Sunday
2021-06-21,Monday
2021-06-22,Tuesday
2021-06-23,Wednesday
2021-06-24,Thursday
2021-06-25,Friday
2021-06-26,Saturday
2021-06-27,Sunday
2021-06-28,Monday
2021-06-29,Tuesday
2021-06-30,Wednesday
2021-07-01,Thursday
2021-07-02,Friday
2021-07-03,Saturday
2021-07-04,Sunday
2021-07-05,Monday
2021-07-06,Tuesday
2021-07-07,Wednesday
2021-07-08,Thursday
2021-07-09,Friday
2021-07-10,Saturday
2021-07-11,Sunday
2021-07-12,Monday
2021-07-13,Tuesday
2021-07-14,Wednesday
2021-07-15,Thursday
2021-07-16,Friday
2021-07-17,Saturday
2021-07-18,Sunday
2021-07-19,Monday
2021-07-20,Tuesday
2021-07-21,Wednesday
2021-07-22,Thursday
2021-07-23,Friday
2021-07-24,Saturday
2021-07-25,Sunday
2021-07-26,Monday
2021-07-27,Tuesday
2021-07-28,Wednesday
2021-07-29,Thursday
2021-07-30,Friday
2021-07-31,Saturday
2021-08-01,Sunday
2021-08-02,Monday
2021-08-03,Tuesday
2021-08-04,Wednesday
2021-08-05,Thursday
2021-08-06,Friday
2021-08-07,Saturday
2021-08-08,Sunday
2021-08-09,Monday
2021-08-10,Tuesday
2021-08-11,Wednesday
2021-08-12,Thursday
2021-08-13,Friday
2021-08-14,Saturday
2021-08-15,Sunday
2021-08-16,Monday
2021-08-17,Tuesday
2021-08-18,Wednesday
2021-08-19,Thursday
2021-08-20,Friday
2021-08-21,Saturday
2021-08-22,Sunday
2021-08-23,Monday
2021-08-24,Tuesday
2021-08-25,Wednesday
2021-08-26,Thursday
2021-08-27,Friday
2021-08-28,Saturday
2021-08-29,Sunday
2021-08-30,Monday
2021-08-31,Tuesday
2021-09-01,Wednesday
2021-09-02,Thursday
2021-09-03,Friday
2021-09-04,Saturday
2021-09-05,Sunday
2021-09-06,Monday
2021-09-07,Tuesday
2021-09-08,Wednesday
2021-09-09,Thursday
2021-09-10,Friday
2021-09-11,Saturday
2021-09-12,Sunday
2021-09-13,Monday
2021-09-14,Tuesday
2021-09-15,Wednesday
2021-09-16,Thursday
2021-09-17,Friday
2021-09-18,Saturday
2021-09-19,Sunday
2021-09-20,Monday
2021-09-21,Tuesday
2021-09-22,Wednesday
2021-09-23,Thursday
2021-09-24,Friday
2021-09-25,Saturday
2021-09-26,Sunday
2021-09-27,Monday
2021-09-28,Tuesday
2021-09-29,Wednesday
2021-09-30,Thursday
2021-10-01,Friday
2021-10-02,Saturday
2021-10-03,Sunday
2021-10-04,Monday
2021-10-05,Tuesday
2021-10-06,Wednesday
2021-10-07,Thursday
2021-10-08,Friday
2021-10-09,Saturday
2021-10-10,Sunday
2021-10-11,Monday
2021-10-12,Tuesday
2021-10-13,Wednesday
2021-10-14,Thursday
2021-10-15,Friday
2021-10-16,Saturday
2021-10-17,Sunday
2021-10-18,Monday
2021-10-19,Tuesday
2021-10-20,Wednesday
2021-10-21,Thursday
2021-10-22,Friday
2021-10-23,Saturday
2021-10-24,Sunday
2021-10-25,Monday
2021-10-26,Tuesday
2021-10-27,Wednesday
2021-10-28,Thursday
2021-10-29,Friday
2021-10-30,Saturday
2021-10-31,Sunday
2021-11-01,Monday
2021-11-02,Tuesday
2021-11-03,Wednesday
2021-11-04,Thursday
2021-11-05,Friday
2021-11-06,Saturday
2021-11-07,Sunday
2021-11-08,Monday
2021-11-09,Tuesday
2021-11-10,Wednesday
2021-11-11,Thursday
2021-11-12,Friday
2021-11-13,Saturday
2021-11-14,Sunday
2021-11-15,Monday
2021-11-16,Tuesday
2021-11-17,Wednesday
2021-11-18,Thursday
2021-11-19,Friday
2021-11-20,Saturday
2021-11-21,Sunday
2021-11-22,Monday
2021-11-23,Tuesday
2021-11-24,Wednesday
2021-11-25,Thursday
2021-11-26,Friday
2021-11-27,Saturday
2021-11-28,Sunday
2021-11-29,Monday
2021-11-30,Tuesday
2021-12-01,Wednesday
2021-12-02,Thursday
2021-12-03,Friday
2021-12-04,Saturday
2021-12-05,Sunday
2021-12-06,Monday
2021-12-07,Tuesday
2021-12-08,Wednesday
2021-12-09,Thursday
2021-12-10,Friday
2021-12-11,Saturday
2021-12-12,Sunday
2021-12-13,Monday
2021-12-14,Tuesday
2021-12-15,Wednesday
2021-12-16,Thursday
2021-12-17,Friday
2021-12-18,Saturday
2021-12-19,Sunday
2021-12-20,Monday
2021-12-21,Tuesday
2021-12-22,Wednesday
2021-12-23,Thursday
2021-12-24,Friday
2021-12-25,Saturday
2021-12-26,Sunday
2021-12-27,Monday
2021-12-28,Tuesday
2021-12-29,Wednesday
2021-12-30,Thursday
2021-12-31,Friday
2022-01-01,Saturday
2022-01-02,Sunday
2022-01-03,Monday
2022-01-04,Tuesday
2022-01-05,Wednesday
2022-01-06,Thursday
2022-01-07,Friday
2022-01-08,Saturday
2022-01-09,Sunday
2022-01-10,Monday
2022-01-11,Tuesday
2022-01-12,Wednesday
2022-01-13,Thursday
2022-01-14,Friday
2022-01-15,Saturday
2022-01-16,Sunday
2022-01-17,Monday
2022-01-18,Tuesday
2022-01-19,Wednesday
2022-01-20,Thursday
2022-01-21,Friday
2022-01-22,Saturday
2022-01-23,Sunday
2022-01-24,Monday
2022-01-25,Tuesday
2022-01-26,Wednesday
2022-01-27,Thursday
2022-01-28,Friday
2022-01-29,Saturday
2022-01-30,Sunday
2022-01-31,Monday
2022-02-01,Tuesday
2022-02-02,Wednesday
2022-02-03,Thursday
2022-02-04,Friday
2022-02-05,Saturday
2022-02-06,Sunday
2022-02-07,Monday
2022-02-08,Tuesday
2022-02-09,Wednesday
2022-02-10,Thursday
2022-02-11,Friday
2022-02-12,Saturday
2022-02-13,Sunday
2022-02-14,Monday
2022-02-15,Tuesday
2022-02-16,Wednesday
2022-02-17,Thursday
2022-02-18,Friday
2022-02-19,Saturday
2022-02-20,Sunday
2022-02-21,Monday
2022-02-22,Tuesday
2022-02-23,Wednesday
2022-02-24,Thursday
2022-02-25,Friday
2022-02-26,Saturday
2022-02-27,Sunday
2022-02-28,Monday
2022-03-01,Tuesday
2022-03-02,Wednesday
2022-03-03,Thursday
2022-03-04,Friday
2022-03-05,Saturday
2022-03-06,Sunday
2022-03-07,Monday
2022-03-08,Tuesday
2022-03-09,Wednesday
2022-03-10,Thursday
2022-03-11,Friday
2022-03-12,Saturday
2022-03-13,Sunday
2022-03-14,Monday
2022-03-15,Tuesday
2022-03-16,Wednesday
2022-03-17,Thursday
2022-03-18,Friday
2022-03-19,Saturday
2022-03-20,Sunday
2022-03-21,Monday
2022-03-22,Tuesday
2022-03-23,Wednesday
2022-03-24,Thursday
2022-03-25,Friday
2022-03-26,Saturday
2022-03-27,Sunday
2022-03-28,Monday
2022-03-29,Tuesday
2022-03-30,Wednesday
2022-03-31,Thursday
2022-04-01,Friday
2022-04-02,Saturday
2022-04-03,Sunday
2022-04-04,Monday
2022-04-05,Tuesday
2022-04-06,Wednesday
2022-04-07,Thursday
2022-04-08,Friday
2022-04-09,Saturday
2022-04-10,Sunday
2022-04-11,Monday
2022-04-12,Tuesday
2022-04-13,Wednesday
2022-04-14,Thursday
2022-04-15,Friday
2022-04-16,Saturday
2022-04-17,Sunday
2022-04-18,Monday
2022-04-19,Tuesday
2022-04-20,Wednesday
2022-04-21,Thursday
2022-04-22,Friday
2022-04-23,Saturday
2022-04-24,Sunday
2022-04-25,Monday
2022-04-26,Tuesday
2022-04-27,Wednesday
2022-04-28,Thursday
2022-04-29,Friday
2022-04-30,Saturday
2022-05-01,Sunday
2022-05-02,Monday
2022-05-03,Tuesday
2022-05-04,Wednesday
2022-05-05,Thursday
2022-05-06,Friday
2022-05-07,Saturday
2022-05-08,Sunday
2022-05-09,Monday
2022-05-10,Tuesday
2022-05-11,Wednesday
2022-05-12,Thursday
2022-05-13,Friday
2022-05-14,Saturday
2022-05-15,Sunday
2022-05-16,Monday
2022-05-17,Tuesday
2022-05-18,Wednesday
2022-05-19,Thursday
2022-05-20,Friday
2022-05-21,Saturday
2022-05-22,Sunday
2022-05-23,Monday
2022-05-24,Tuesday
2022-05-25,Wednesday
2022-05-26,Thursday
2022-05-27,Friday
2022-05-28,Saturday
2022-05-29,Sunday
2022-05-30,Monday
2022-05-31,Tuesday
2022-06-01,Wednesday
2022-06-02,Thursday
2022-06-03,Friday
2022-06-04,Saturday
2022-06-05,Sunday
2022-06-06,Monday
2022-06-07,Tuesday
2022-06-08,Wednesday
2022-06-09,Thursday
2022-06-10,Friday
2022-06-11,Saturday
